Demande Devis,Interest Level,Meeting Notes,Decision Level,Connait Marque,converted
True,Tiède,"A chiffré avec un concurrent 15% moins cher, demande alignement tarifaire",Chef d'agence négoce,True,1
False,Froid,"A demandé des échantillons, projet probable mais délai incertain",Architecte,False,0
True,Tiède,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Conducteur de travaux,True,0
True,Chaud,"Réunion de 90 min, très impliqué, a demandé une visite chantier",Conducteur de travaux,True,1
True,Tiède,"Volume trop faible pour négocier, reste avec son fournisseur habituel",Chef d'agence négoce,True,0
False,Froid,"A raccourci la réunion, peu d'engagement, pas de suite annoncée",Chef d'agence négoce,False,1
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Conducteur de travaux,False,1
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Chef d'agence négoce,False,0
True,Chaud,"Volume important prévu sur l'année, demande tarifs et conditions",Architecte,True,1
True,Tiède,"Bonne réunion, ouvert à une proposition, dépend du budget annuel",Chef d'agence négoce,True,0
False,Tiède,"Veut voir une réf chantier avant de s'engager, à organiser une visite",Promoteur immobilier,False,0
False,Tiède,"Réunion courte mais positive, a promis de transmettre nos docs à son équipe",Responsable achats,True,0
True,Chaud,"Demande de devis pour 200m² de matériaux, livraison souhaitée avant septembre",Conducteur de travaux,True,1
True,Chaud,"Trouve notre offre trop chère, Rockwool proposé 15% moins cher",Conducteur de travaux,True,0
False,Tiède,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Chef d'agence négoce,True,1
False,Froid,"A posé des questions techniques, compare plusieurs fournisseurs, pas pressé",Promoteur immobilier,True,0
True,Tiède,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Promoteur immobilier,False,1
True,Chaud,"Budget signé, commande probable d'ici 3 semaines, très motivé",Promoteur immobilier,True,1
True,Chaud,"Commande test de 50 unités envisagée, veut valider la qualité avant volume",Conducteur de travaux,False,0
True,Chaud,"Réunion de 90 min, très impliqué, a demandé une visite chantier",Chef d'agence négoce,True,1
False,Tiède,"Pas de projet concret à court terme, juste une veille marché",Conducteur de travaux,False,0
False,Chaud,"A visité notre showroom, commande test envisagée dès la semaine prochaine",Chef d'agence négoce,True,1
False,Tiède,"Client actif, référencement en cours, commande test validée",Responsable achats,True,1
False,Froid,"Réticent au changement, processus interne trop lourd selon lui",Architecte,False,0
False,Froid,"Intéressé mais prix au-dessus de son budget initial, cherche à négocier",Promoteur immobilier,False,0
True,Chaud,Trop petit volume pour justifier un changement de fournisseur selon lui,Promoteur immobilier,False,0
True,Chaud,"Projet confirmé, attend notre proposition commerciale, délai fin du trimestre",Responsable achats,False,1
False,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Chef d'agence négoce,False,1
True,Chaud,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Architecte,False,1
False,Chaud,"Projet résidentiel 80 unités, budget confirmé, veut nos conditions tarifaires",Conducteur de travaux,True,1
False,Froid,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Architecte,True,0
False,Froid,"Chef de projet enthousiaste, demande un chiffrage rapide pour validation",Chef d'agence négoce,True,1
